,title,release_date
505642,Black Panther: Wakanda Forever,2022-11-09
76600,Avatar: The Way of Water,2022-12-14
646389,Plane,2023-01-12
545611,Everything Everywhere All at Once,2022-03-24
385687,Fast X,2023-05-17
640146,Ant-Man and the Wasp: Quantumania,2023-02-15
758009,Shotgun Wedding,2022-12-28
718930,Bullet Train,2022-08-03
49046,All Quiet on the Western Front,2022-10-07
315162,Puss in Boots: The Last Wish,2022-12-07
739986,True Spirit,2023-01-26
864692,Pathaan,2023-01-25
830784,"Lyle, Lyle, Crocodile",2022-10-07
284054,Black Panther,2018-02-13
502356,The Super Mario Bros. Movie,2023-04-05
1067282,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023-02-03
555604,Guillermo del Toro's Pinocchio,2022-10-22
420818,The Lion King,2019-07-12
869626,Marcel the Shell with Shoes On,2022-06-24
568124,Encanto,2021-10-13
438695,Sing 2,2021-12-01
614934,Elvis,2022-06-22
106646,The Wolf of Wall Street,2013-12-25
640,Catch Me If You Can,2002-12-16
707103,Emily,2022-10-14
872585,Oppenheimer,2023-07-19
301502,Blonde,2022-09-16
769,GoodFellas,1990-09-12
424,Schindler's List,1993-12-15
9443,Chariots of Fire,1981-05-15
661374,Glass Onion: A Knives Out Mystery,2022-11-12
667216,Infinity Pool,2023-01-27
800815,The Pale Blue Eye,2022-12-22
1072567,Infiesto,2023-02-03
414906,The Batman,2022-03-01
238,The Godfather,1972-03-14
546554,Knives Out,2019-11-27
1046991,Vadh,2022-12-09
671,Harry Potter and the Philosopher's Stone,2001-11-16
643215,Asterix & Obelix: The Middle Kingdom,2023-02-01
447277,The Little Mermaid,2023-05-18
877269,Strange World,2022-11-23
877703,Teen Wolf: The Movie,2023-01-18
19995,Avatar,2009-12-15
599,Sunset Boulevard,1950-08-10
41462,The Hitch-Hiker,1953-03-30
223,Rebecca,1940-03-23
963,The Maltese Falcon,1941-10-18
44171,The Falcon Out West,1944-03-17
3112,The Night of the Hunter,1955-08-26
27448,The Two Mrs. Carrolls,1947-03-04
996,Double Indemnity,1944-07-06
1092,The Third Man,1949-08-31
615777,Babylon,2022-12-22
664469,Amsterdam,2022-09-27
639933,The Northman,2022-04-07
619930,Narvik,2022-12-25
724495,The Woman King,2022-09-16
466420,Killers of the Flower Moon,2023-10-18
631842,Knock at the Cabin,2023-02-01
593643,The Menu,2022-11-17
536554,M3GAN,2022-12-28
788752,Viking Wolf,2022-11-18
934433,Scream VI,2023-03-08
760104,X,2022-03-17
980078,Winnie the Pooh: Blood and Honey,2023-01-27
420808,Peter Pan & Wendy,2023-04-20
703451,Your Place or Mine,2023-02-10
869112,Somebody I Used to Know,2023-02-10
597,Titanic,1997-11-18
866413,You People,2023-01-20
814757,Empire of Light,2022-12-09
942922,80 for Brady,2023-02-03
677179,Creed III,2023-03-01
359724,Ford v Ferrari,2019-11-13
1366,Rocky,1976-11-21
9614,Happy Gilmore,1996-02-16
920125,White Men Can't Jump,2023-05-11
920,Cars,2006-06-08
705861,Hustle,2022-06-03
515001,Jojo Rabbit,2019-10-18
653851,Devotion,2022-11-23
299054,Expend4bles,2023-09-15
16869,Inglourious Basterds,2009-08-02
374720,Dunkirk,2017-07-19
28,Apocalypse Now,1979-08-15
137113,Edge of Tomorrow,2014-05-27
